2026-02-05 07:16:15,401 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>], maxlen=5)
2026-02-05 07:16:18,979 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>], maxlen=5)
2026-02-05 07:17:16,111 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>], maxlen=5)
2026-02-05 07:17:19,558 - [ResearchReportAdditionInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>], maxlen=5)
2026-02-05 07:17:22,827 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>], maxlen=5)
2026-02-05 07:18:12,380 - [ResearchReportAdditionInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>], maxlen=5)
2026-02-05 07:18:14,504 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>], maxlen=5)
2026-02-05 07:18:18,159 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>], maxlen=5)
2026-02-05 07:19:10,627 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>], maxlen=5)
2026-02-05 07:19:13,842 - [ResearchReportAdditionInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>], maxlen=5)
2026-02-05 07:19:17,120 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>], maxlen=5)
2026-02-05 07:20:14,793 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>], maxlen=5)
2026-02-05 07:20:18,715 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>], maxlen=5)
2026-02-05 07:20:18,993 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>], maxlen=5)
2026-02-05 07:20:22,804 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>], maxlen=5)
2026-02-05 07:21:15,434 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>], maxlen=5)
2026-02-05 07:21:18,999 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>], maxlen=5)
2026-02-05 07:22:16,127 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>], maxlen=5)
2026-02-05 07:22:19,594 - [ResearchReportAdditionInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>], maxlen=5)
2026-02-05 07:22:22,854 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>], maxlen=5)
2026-02-05 07:23:12,408 - [ResearchReportAdditionInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>], maxlen=5)
2026-02-05 07:23:14,539 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>], maxlen=5)
2026-02-05 07:23:18,196 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>], maxlen=5)
2026-02-05 07:24:10,656 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>], maxlen=5)
2026-02-05 07:24:13,866 - [ResearchReportAdditionInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>], maxlen=5)
2026-02-05 07:24:17,150 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>], maxlen=5)
2026-02-05 07:25:14,845 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>], maxlen=5)
2026-02-05 07:25:18,747 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>], maxlen=5)
2026-02-05 07:25:19,023 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>], maxlen=5)
2026-02-05 07:25:22,833 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>], maxlen=5)
2026-02-05 07:26:15,470 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>], maxlen=5)
2026-02-05 07:26:19,034 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>], maxlen=5)
2026-02-05 07:27:16,157 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>], maxlen=5)
2026-02-05 07:27:19,606 - [ResearchReportAdditionInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>], maxlen=5)
2026-02-05 07:27:22,902 - [ResearchReportTextInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>], maxlen=5)
2026-02-05 07:28:12,440 - [ResearchReportAdditionInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5E92FF0>, <asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>], maxlen=5)
2026-02-05 07:28:14,567 - [ResearchReportBasicInfoPipeline] - INFO: 连接池健康检查通过 (类型: aiomysql) - 连接池状态: size=5, min=1, max=5, 已获取=set(), 空闲=deque([<asyncmy.connection.Connection object at 0x0000019AE5DDCD40>, <asyncmy.connection.Connection object at 0x0000019AE5DDE2A0>, <asyncmy.connection.Connection object at 0x0000019AE5E92AB0>, <asyncmy.connection.Connection object at 0x0000019AE5E735C0>, <asyncmy.connection.Connection object at 0x0000019AE5E92FF0>], maxlen=5)
